,Sample name,Cruise series,GEOTRACES section,Cruise ID,Cruise Station,Collection Date,Depth (m),env_biome,env_feature,env_material,geo_loc_name,Latitude and Longitude,Bottle ID,NCBI BioProject,NCBI SRA Study,NCBI BioSample,NCBI SRA Accession,Total read pairs,Total bases,NCBI SRA Accession for assembled metagenome contigs,Assembly method and version,Unnamed: 21
235,S0250,GEOTRACES,GA03,KN199-4,12,2010-11-02T07:57:00,2,ocean_biome,ocean,water,Atlantic Ocean,17.4 N 24.4998 W,853064,PRJNA385854,SRP110813,SAMN07136718,SRR5788169,22125940,6637782000,SRZ187441,metaSPAdes v3.9.0,
228,S0243,GEOTRACES,GA03,KN199-4,10,2010-10-30T00:58:00,2,ocean_biome,ocean,water,Atlantic Ocean,17.3487 N 20.7835 W,853163,PRJNA385854,SRP110813,SAMN07136711,SRR5788344,39074236,11722270800,SRZ187434,metaSPAdes v3.9.0,
222,S0237,GEOTRACES,GA03,KN199-4,7,2010-10-24T09:46:00,2,ocean_biome,ocean,water,Atlantic Ocean,24 N 22.0001 W,853052,PRJNA385854,SRP110813,SAMN07136705,SRR5788336,27875862,8362758600,SRZ187428,metaSPAdes v3.9.0,
555,S0576,BATS,,BATS186,BATS,2004-03-23,"2,1",ocean_biome,ocean,water,"Atlantic Ocean: Sargasso Sea, BATS",31.66 N 64.16 W,1018600401,PRJNA385855,SRP109831,SAMN07137073,SRR5720337,21473448,6442034400,SRZ187154,metaSPAdes v3.10.1,
480,S0501,HOT,,HOT156,Station ALOHA,2004-02-24,4,ocean_biome,ocean,water,"Pacific Ocean: North Pacific Subtropical Gyre, Station ALOHA",22.75 N 158 W,1560200314,PRJNA385855,SRP109831,SAMN07136998,SRR5720299,13333617,4000085100,SRZ187079,metaSPAdes v3.9.0,
456,S0477,GEOTRACES,GA10,D357,6,2010-10-29T18:23:00,6,ocean_biome,ocean,water,Atlantic Ocean,40.01935 S 0.88755 E,237745,PRJNA385854,SRP110813,SAMN07136939,SRR5788308,15108191,4532457300,SRZ187662,metaSPAdes v3.9.0,
462,S0483,GEOTRACES,GA10,D357,9,2010-11-10T12:29:00,6,ocean_biome,ocean,water,Atlantic Ocean,34.89531 S 16.07692 E,237841,PRJNA385854,SRP110813,SAMN07136945,SRR5788208,27379204,8213761200,SRZ187668,metaSPAdes v3.9.0,
474,S0495,GEOTRACES,GA10,D357,11,2010-11-15T02:37:00,"6,1",ocean_biome,ocean,water,Atlantic Ocean,39.25553 S 7.72506 E,237937,PRJNA385854,SRP110813,SAMN07136957,SRR5788079,27445687,8233706100,SRZ187680,metaSPAdes v3.10.1,
426,S0447,GEOTRACES,GA10,D357,1,2010-10-19T06:14:00,"6,1",ocean_biome,ocean,water,Atlantic Ocean,34.62898 S 17.06995 E,237617,PRJNA385854,SRP110813,SAMN07136909,SRR5788131,20500870,6150261000,SRZ187632,metaSPAdes v3.9.0,
450,S0471,GEOTRACES,GA10,D357,5,2010-10-27T19:24:00,"6,3",ocean_biome,ocean,water,Atlantic Ocean,40.06269 S 5.52721 E,237547,PRJNA385854,SRP110813,SAMN07136933,SRR5788302,4633907,1390172100,SRZ187656,metaSPAdes v3.9.0,
468,S0489,GEOTRACES,GA10,D357,3 reoccupied,2010-11-12T07:08:00,"6,3",ocean_biome,ocean,water,Atlantic Ocean,36.4495 S 13.21958 E,237889,PRJNA385854,SRP110813,SAMN07136951,SRR5788203,24121575,7236472500,SRZ187674,metaSPAdes v3.9.0,
432,S0453,GEOTRACES,GA10,D357,2,2010-10-20T10:08:00,"6,4",ocean_biome,ocean,water,Atlantic Ocean,35.36689 S 14.90645 E,237665,PRJNA385854,SRP110813,SAMN07136915,SRR5788030,37413305,11223991500,SRZ187638,metaSPAdes v3.9.0,
444,S0465,GEOTRACES,GA10,D357,4,2010-10-26T06:22:00,"6,5",ocean_biome,ocean,water,Atlantic Ocean,38.42539 S 10.08884 E,237500,PRJNA385854,SRP110813,SAMN07136927,SRR5788442,4023804,1207141200,SRZ187650,metaSPAdes v3.9.0,
12,S0015,GEOTRACES,GA02,PE319,16,2010-05-20T13:30:00,8,ocean_biome,ocean,water,Atlantic Ocean,36.2067 N 53.2681 W,632891,PRJNA385854,SRP110813,SAMN07136495,SRR5788434,24265082,7279524600,SRZ187218,metaSPAdes v3.9.0,
160,S0168,GEOTRACES,GA02,PE321,23,2010-06-16T00:22:00,8,ocean_biome,ocean,water,Atlantic Ocean,28.0905 N 67.5015 W,634370,PRJNA385854,SRP110813,SAMN07136643,SRR5788375,37873615,11362084500,SRZ187366,metaSPAdes v3.9.0,
40,S0044,GEOTRACES,GA02,PE321,31,2010-06-24T15:06:00,8,ocean_biome,ocean,water,Atlantic Ocean,16.8312 N 56.2685 W,636299,PRJNA385854,SRP110813,SAMN07136523,SRR5788144,21922297,6576689100,SRZ187246,metaSPAdes v3.9.0,
175,S0187,GEOTRACES,GA02,JC057,12,2011-03-18T14:16:00,9,ocean_biome,ocean,water,Atlantic Ocean,22.4732 S 32.7487 W,638351,PRJNA385854,SRP110813,SAMN07136658,SRR5788019,41426131,12427839300,SRZ187381,metaSPAdes v3.9.0,
149,S0157,GEOTRACES,GA02,PE319,11,2010-05-11T13:26:00,9,ocean_biome,ocean,water,Atlantic Ocean,47.8007 N 39.399 W,631541,PRJNA385854,SRP110813,SAMN07136632,SRR5788109,31062384,9318715200,SRZ187355,metaSPAdes v3.9.0,
278,S0294,GEOTRACES,GA02,PE319,18,2010-05-22T13:07:00,9,ocean_biome,ocean,water,Atlantic Ocean,33.4334 N 58.0503 W,632273,PRJNA385854,SRP110813,SAMN07136761,SRR5788387,37800395,11340118500,SRZ187484,metaSPAdes v3.9.0,
35,S0039,GEOTRACES,GA02,PE321,35,2010-06-28T14:16:00,9,ocean_biome,ocean,water,Atlantic Ocean,9.5462 N 50.4686 W,634616,PRJNA385854,SRP110813,SAMN07136518,SRR5788192,26955573,8086671900,SRZ187241,metaSPAdes v3.9.0,
30,S0033,GEOTRACES,GA02,PE321,33,2010-06-26T12:25:00,9,ocean_biome,ocean,water,Atlantic Ocean,13.1623 N 53.4215 W,636587,PRJNA385854,SRP110813,SAMN07136513,SRR5788197,23050701,6915210300,SRZ187236,metaSPAdes v3.9.0,
192,S0205,GEOTRACES,GA02,JC057,18,2011-03-27T13:11:00,9,ocean_biome,ocean,water,Atlantic Ocean,0.1915 S 32.8745 W,639422,PRJNA385854,SRP110813,SAMN07136675,SRR5788354,17786685,5336005500,SRZ187398,metaSPAdes v3.9.0,
212,S0226,GEOTRACES,GA02,JC057,7,2011-03-12T01:56:00,9,ocean_biome,ocean,water,Atlantic Ocean,37.8305 S 41.1248 W,637139,PRJNA385854,SRP110813,SAMN07136695,SRR5787989,22895492,6868647600,SRZ187418,metaSPAdes v3.9.0,
